Site	AICc_geom	AICc_mete	AICc_lognorm	AICc_zipf	winner
0	1160.31469236	890.2128254228966	853.8639387913335	855.2896385028967	lognorm
2	607.847425538	397.98424148472725	367.84963654822224	366.82096401072727	zipf
3	698.0244212760001	437.7622618066667	397.56845514850846	397.7163246646667	lognorm
7	223.35518229	114.4536500608	92.74425257620001	89.9877799146	zipf
9	435.01613113199994	321.724157118	310.01580117969235	314.715899868	lognorm
10	1141.245525654	772.1323287012033	703.2961937657377	702.0474615852032	zipf
11	274.687645182	208.2716657084762	209.95611832400002	208.55169842647618	mete
13	307.992324374	166.79495377942223	152.1264687507412	149.5013858894222	zipf
19	796.9207889319999	517.5200483573924	467.26805384184615	465.21750511939246	zipf
20	220.78345976	200.8758801368645	198.5585828272	206.9507935340645	lognorm
21	913.698890706	464.54908325844445	314.9568682126742	312.4000474804444	zipf
24	295.90966144	169.22960464801818	150.0070412624286	147.27662878061818	zipf
26	905.2640629819999	692.6243166564041	676.3162083035918	676.9275146384041	lognorm
27	418.053062656	280.56481812082353	267.2856824136364	266.3780084248235	zipf
29	1043.50324046	742.0434376987693	676.6705478318139	675.6174490087693	zipf
31	1026.7243345480001	794.3353047602685	761.2458743799099	761.4140704182686	lognorm
32	583.407730906	465.0969929864918	463.64023444	464.8430274164918	lognorm
33	690.846235932	548.8831563224445	531.7874560926741	534.1590692024445	lognorm
36	338.27899521	275.51739157690906	263.71274018744185	270.7079973449091	lognorm
38	314.18662160400004	299.6528710180541	303.2122611616438	308.5650120760541	mete
39	1048.630526332	800.0041522413782	776.3256031532543	777.1771537513782	lognorm
40	719.079154434	558.7651357333333	551.2263746401622	552.8276428293333	lognorm
41	471.132557174	372.36703906872725	366.31000135222223	365.72757425272727	zipf
42	335.08186135200003	181.08871101444618	151.72981351879997	148.44426516044615	zipf
44	604.240127088	476.012897986	470.93263891447623	472.729817538	lognorm
45	326.84000906200004	301.24377437906116	302.283071194	312.0676082650612	mete
46	396.10424306199997	212.33149754733333	175.75731290524828	175.5013434711333	zipf
48	441.17204600199995	352.6012101294286	342.9428354241818	344.55976041342853	lognorm
49	744.87970696	536.2634221765479	515.9304030826667	515.292731366548	zipf
51	291.44952555	150.575360727	125.63192270776844	123.5897938588	zipf
53	35.4258044066	39.39627830664444	40.5625980132	43.08004114584444	geom
54	353.836549606	193.8490263830645	153.5228646664	152.86656276906453	zipf
55	388.80061268599997	344.2897111184918	337.562269152	348.5255457764918	lognorm
