Site	N	S	NmaxObs	NmaxPred_geom	evennessObs	evennessPred_geom	skewnessObs	skewnessPred_geom	ll_geom	r2_geom	NmaxPred_mete	evennessPred_mete	skewnessPred_mete	p_mete	ll_mete	r2_mete	NmaxPred_lognorm	evennessPred_lognorm	skewnessPred_lognorm	mu_lognorm	sigma_lognorm	ll_lognorm	r2_lognorm	NmaxPred_zipf	evennessPred_zipf	skewnessPred_zipf	gamma_zif	ll_zipf	r2_zipf
2	513	158	35	16.0	0.2773	0.5968	0.73022429528	0.454597201264	-316.769678091	0.7662865789859999	25	0.4432	0.587523779919	0.867967449129	-290.117085896	0.9114198661399999	57	0.2386	0.85230789507	-1.4546575170299998	1.7695006811200003	-284.908960971	0.9739265831110001	366	0.0423	1.05930557812	1.8984078779799998	-289.831536411	0.8488700246950001
7	2643	288	1281	56.0	0.0145	0.5321	1.24230343204	0.462042227139	-910.1178708289999	-0.0255374143892	118	0.2844	0.657141067126	0.969808089029	-693.796104266	0.573197171	211	0.1111	1.0111876165	-1.5731771338999998	2.11776290904	-627.070669762	0.9731083212520001	2903	0.0127	1.2112943966399998	1.7487495866	-635.076259187	0.89412620545
13	6442	319	2862	128.0	0.0153	0.5159	1.25364063793	0.460054954341	-1269.69168597	-0.0988011524606	320	0.2256	0.690660850214	0.9891778157619999	-951.670963806	0.6916899125120001	1261	0.0404	1.12191503669	-1.7489471588299998	2.70947810765	-894.6564960589999	0.989009886117	44130	0.0058	1.25811334841	1.57544336037	-903.3291168760001	0.889001415935
17	4702	174	1770	156.0	0.0273	0.5149	1.0046451572	0.45273318731000006	-744.363754335	-0.6575951098830001	390	0.2141	0.682396892148	0.9924919637690001	-514.548349465	0.41728917368199997	1066	0.0391	1.05090015334	-3.40028120141	3.18881182334	-466.837374355	0.9853033438519999	8989	0.0118	1.12964333244	1.6077276864200003	-468.436599841	0.95810757044
19	929	161	233	31.0	0.0749	0.5531	1.01518546966	0.453174066518	-428.35040053800003	0.46898743501999995	56	0.342	0.61706791103	0.942932195961	-354.62286583400004	0.8033761195319999	172	0.106	0.959644933073	-2.57708280599	2.40938273114	-334.770906759	0.985578312616	902	0.026000000000000002	1.0854642810700001	1.78920215226	-336.989007791	0.9321909830990001
21	616	13	233	153.0	0.3532	0.5468	0.455074028098	0.34880563355099997	-63.01969269560001	0.727255634252	276	0.2597	0.51165970603	0.996834777296	-60.1798605112	0.9134882580600001	410	0.223	0.560008503733	2.3961984945299997	1.99231200692	-60.896012595500004	0.942134001654	23841	0.0826	0.620266594388	1.30652486077	-64.066803279	0.13052836040100002
22	7125	176	1654	235.0	0.0423	0.5114	0.888292189069	0.452152960466	-825.1631804819999	-0.9298209947310001	629	0.1955	0.695340240695	0.995438018684	-549.349199451	0.313063946558	1922	0.0296	1.07270469172	-4.07540929726	3.5276839302699994	-497.257130489	0.964127350948	15506	0.0106	1.1356110823999999	1.5761495142700002	-497.82522551	0.956985112934
24	1269	302	197	24.0	0.0992	0.5709	1.12766465426	0.461631341408	-696.355385179	0.729443579923	42	0.3839	0.619979403944	0.9100916430149999	-623.543614565	0.9063393859860001	86	0.2272	0.9040492664569999	-0.741005830824	1.6126399367200002	-603.829673704	0.985949088335	1720	0.0157	1.21007258188	1.8043153241999998	-620.250629676	0.786712514542
26	4415	388	800	73.0	0.0406	0.5256	1.0852906417700001	0.463083164015	-1313.95025094	0.294646182972	165	0.264	0.6728617567659999	0.9773142913539999	-1056.80436945	0.805479819686	543	0.0715	1.0845206402299998	-1.01030562086	2.22705784475	-1007.02419158	0.9937171984540001	26412	0.0056	1.2930970775700001	1.62151154877	-1022.84295857	0.851627702409
28	909	267	200	19.0	0.0672	0.5893	1.1789883849200002	0.465897602189	-550.360607846	0.647209933973	30	0.4295	0.59966405826	0.8771112188700001	-481.84176738300005	0.8167878566060001	51	0.2884	0.86678519455	-1.224487067	1.583180445	-452.078483165	0.959415829411	454	0.0348	1.15229799829	1.9487777048599997	-462.55816879199995	0.837524281187
