Site	N	S	NmaxObs	NmaxPred_geom	evennessObs	evennessPred_geom	skewnessObs	skewnessPred_geom	ll_geom	r2_geom	site_name	NmaxPred_mete	evennessPred_mete	skewnessPred_mete	p_mete	ll_mete	r2_mete	NmaxPred_lognorm	evennessPred_lognorm	skewnessPred_lognorm	mu_lognorm	sigma_lognorm	ll_lognorm	r2_lognorm	NmaxPred_zipf	evennessPred_zipf	skewnessPred_zipf	gamma_zif	ll_zipf	r2_zipf
24	4212	24	4068	678.0	0.0447	0.528	0.7471129254459999	0.38958085175800006	-147.95483072	-2.63559074524	'700114830.may1'	1569	0.1864	0.6040234225550001	0.9992378406419999	-83.5238932331	-0.344184256227	624	0.0764	0.7305015669059999	-10.596219636699999	5.3435410890199995	-72.71780634550001	0.9220303595010001	806	0.0668	0.737404752939	1.5358880591	-72.5474052994	0.9393146109630001
26	3334	101	688	173.0	0.1108	0.5162	0.786699576221	0.44140033516800004	-452.63203149099996	0.0726419058522	'700096445.may1'	423	0.21	0.666638202747	0.994140406512	-345.291956308	0.814990540811	6157	0.0242	1.0052269413700001	-6.72634486215	4.70285997065	-336.096879662	0.954790165719	37583	0.0141	1.03081257037	1.4795119899399998	-337.443555299	0.898498478493
27	4420	36	3760	523.0	0.0383	0.5217	0.827587669075	0.40816235164000003	-209.026531328	-0.974173707967	'700109443.may1'	1279	0.1824	0.634934023116	0.998795473465	-139.223585531	0.545118742265	1931	0.0584	0.803416890993	-3.5877020779900004	4.112316971269999	-131.461023025	0.974016735415	11825	0.0356	0.825431002622	1.43121554296	-132.130180683	0.9352646695290001
29	2595	132	498	107.0	0.0809	0.5212	0.7896960528560001	0.445707619473	-521.75162023	-0.25185496481499997	'700016961.may1'	248	0.2344	0.661676383164	0.988803190308	-370.006334234	0.5428438958039999	2753	0.0209	1.05720273705	-15.0055174708	5.64523635306	-336.288762288	0.980099964875	3435	0.0176	1.0688059189599999	1.64351636404	-336.79333988900004	0.9699684532439999
31	2249	136	457	90.0	0.1016	0.5227	0.861280323078	0.447909133966	-513.3621672740001	0.16031034351600001	'700096530.may1'	203	0.2448	0.656205503495	0.986041153081	-396.15272700699995	0.772480498723	2226	0.0267	1.0452093338400001	-6.783473860700001	4.20885144808	-378.577824408	0.971873302417	8645	0.013999999999999999	1.0820949274299998	1.5843997610299998	-379.692109836	0.938031992215
32	2408	63	581	183.0	0.1432	0.5187	0.6968341525589999	0.427799813708	-291.703865453	0.20628648545400002	'700102991.may1'	429	0.2108	0.645501094129	0.9951060629790001	-231.51570960799998	0.8986087582369999	3278	0.0412	0.9041973711069999	-2.9106713282200003	3.87013870771	-229.72011722	0.95674609079	43698	0.0204	0.938068485082	1.4308569744	-231.38872682299998	0.8457928890199999
33	1492	92	567	82.0	0.0664	0.5253	0.960222544931	0.43624088070100003	-345.423117966	0.23187320740400003	'700110193.may1'	177	0.2509	0.639609390825	0.985687544067	-273.419355939	0.81765493278	588	0.0649	0.924344553088	-2.0372855279900004	2.8735020911199998	-263.826312316	0.984189833838	6261	0.0192	1.0051032404	1.5624710619100002	-266.057312379	0.901006144058
36	692	46	453	66.0	0.0501	0.5334	0.8744122227869999	0.41796074276	-169.139497605	0.202190974696	'700095577.may1'	130	0.2676	0.601408369579	0.984234757721	-136.713241243	0.7366813014489999	101	0.2138	0.7130923600839999	0.266060636479	1.7658585266	-129.71683521	0.936093201955	1985	0.0374	0.8662731838169999	1.5566377700299998	-134.308544127	0.674826723766
38	260	76	29	15.0	0.3798	0.5976	0.639632141999	0.437221018473	-157.09331080200002	0.838653276876	'700015003.may1'	23	0.4377	0.572514609887	0.878006748855	-148.79940848200002	0.9673937439229999	30	0.3522	0.70446614021	-0.7313908733589999	1.4859806795299997	-149.5239388	0.9773461480560001	277	0.0568	0.9308179712770001	1.8190676789900002	-153.255479011	0.7613467194679999
39	3452	121	546	154.0	0.1238	0.5164	0.71581753391	0.445619237247	-524.315263166	0.0728517482789	'700035767.may1'	376	0.215	0.669932214721	0.992981519503	-398.985269398	0.797221478925	6738	0.0207	1.04135300567	-8.075931689489998	4.902549548600001	-386.111954119	0.9546816472409999	32413	0.0124	1.06589279704	1.50263466641	-387.57177015300005	0.909087728758
40	3059	77	664	198.0	0.1273	0.5171	0.696840733329	0.434049678378	-359.539577217	0.09219183586060001	'700098002.may1'	480	0.2056	0.6580179557399999	0.995331815663	-278.3559012	0.853819672306	3273	0.0379	0.9378406606470001	-2.81346820836	3.7554190513599996	-273.53210623900003	0.9715490416339999	49245	0.0171	0.9779399950799998	1.4440489779299999	-275.387154748	0.873892658689
41	1336	57	321	109.0	0.1576	0.5247	0.667537452953	0.425414335127	-235.566278587	0.21342340666200002	'700108822.may1'	236	0.2358	0.627217687249	0.99103044217	-185.147155898	0.840737763494	1652	0.0445	0.887303361407	-5.54336579207	4.24785451621	-181.043889565	0.9587545587440001	6954	0.0264	0.913531998998	1.50487697905	-181.82742349	0.903448737227
42	4102	28	3919	588.0	0.0391	0.5252	0.7779255056219999	0.396838636549	-167.54093067600002	-3.35760822611	'700105794.may1'	1387	0.1854	0.616429124048	0.9990363071799999	-89.46743243030001	-0.905282450929	397	0.0748	0.7569552998729999	-13.468228548399999	5.509166893960001	-73.62490675939999	0.848652881644	361	0.0737	0.759984056028	1.62761189536	-73.1452095033	0.8571780079100001
44	2395	66	593	175.0	0.1187	0.5191	0.715076640503	0.429737144353	-302.120063544	0.14869003777	'700096086.may1'	411	0.2124	0.647441083277	0.9947844316079999	-236.975198993	0.8750141875749999	2068	0.0477	0.901039546444	-2.0508818686400003	3.46332229756	-233.371081362	0.980204540206	33489	0.02	0.946732784391	1.4456120529799998	-235.333658769	0.868776824715
45	488	51	82	42.0	0.2334	0.546	0.6171467563449999	0.41710308704800003	-163.42000453100002	0.733718601432	'700032288.may1'	78	0.3018	0.593215790559	0.9714508280159999	-149.58107086299998	0.9725199956139999	113	0.2143	0.7212751495209999	0.50901735167	1.706877195	-149.016535597	0.9779734631929999	3466	0.0317	0.8890151219820001	1.5326869174700002	-154.992987806	0.6240819045699999
46	5754	32	4194	746.0	0.0531	0.5223	0.7578781502140001	0.40319815554399996	-198.05212153099998	-2.39163308181	'700033038.may1'	1842	0.17600000000000002	0.631824986754	0.9992347327600001	-105.099082107	-0.340190776704	762	0.0545	0.7925433177500001	-42.2685244544	9.31847004083	-85.6717599009	0.915745805851	580	0.0605	0.789282545119	1.60369804658	-86.68400506889999	0.889161103115
