	Grid	PDF
0	-45.0616690301	0.00014397597335218047
1	-45.04073190781359	0.00014395606368606533
2	-45.01979478552718	0.00014389635120540356
3	-44.99885766324077	0.00014379688544040875
4	-44.977920540954365	0.00014365774886535736
5	-44.95698341866795	0.00014347905678462254
6	-44.93604629638155	0.00014326095717343313
7	-44.915109174095136	0.00014300363047366126
8	-44.894172051808724	0.00014270728934503461
9	-44.87323492952232	0.00014237217837225695
10	-44.85229780723591	0.00014199857372859437
11	-44.8313606849495	0.0001415867827965837
12	-44.81042356266309	0.00014113714374658362
13	-44.78948644037668	0.00014065002507398423
14	-44.76854931809027	0.00014012582509595912
15	-44.74761219580386	0.00013956497140871815
16	-44.726675073517455	0.00013896792030630608
17	-44.70573795123104	0.00013833515616203907
18	-44.68480082894464	0.0001376671907737667
19	-44.663863706658226	0.0001369645626741874
20	-44.642926584371814	0.0001362278364075239
21	-44.62198946208541	0.0001354576017739163
22	-44.601052339799	0.00013465447304294696
23	-44.58011521751259	0.00013381908813776838
24	-44.55917809522618	0.00013295210779134333
25	-44.538240972939775	0.0001320542146763666
26	-44.51730385065336	0.00013112611251046082
27	-44.49636672836695	0.00013016852513829768
28	-44.475429606080546	0.00012918219559230734
29	-44.454492483794134	0.00012816788513368382
30	-44.43355536150773	0.0001271263722754203
31	-44.41261823922132	0.00012605845178911344
32	-44.39168111693491	0.00012496493369731869
33	-44.3707439946485	0.00012384664225322732
34	-44.34980687236209	0.0001227044149094674
35	-44.32886975007568	0.00012153910127781692
36	-44.30793262778927	0.0001203515620816354
37	-44.286995505502865	0.00011914266810280983
38	-44.26605838321645	0.00011791329912500163
39	-44.24512126093004	0.00011666434287498172
40	-44.224184138643636	0.00011539669396381522
41	-44.203247016357224	0.00011411125282964563
42	-44.18230989407082	0.0001128089246838128
43	-44.16137277178441	0.00011149061846199294
44	-44.140435649498	0.00011015724578205452
45	-44.11949852721159	0.00010880971991025281
46	-44.09856140492518	0.00010744895473738704
47	-44.07762428263877	0.00010607586376647834
48	-44.05668716035236	0.00010469135911350086
49	-44.035750038065956	0.00010329635052265427
50	-44.014812915779544	0.00010189174439760453
51	-43.99387579349314	0.00010047844285009478
52	-43.97293867120673	9.905734276724992e-05
53	-43.952001548920315	9.762933489886719e-05
54	-43.93106442663391	9.619530296591427e-05
55	-43.9101273043475	9.47561227914024e-05
56	-43.88919018206109	9.331266145475096e-05
57	-43.86825305977468	9.186577647068022e-05
58	-43.847315937488275	9.041631499362859e-05
59	-43.82637881520186	8.896511304860392e-05
60	-43.80544169291545	8.751299478933835e-05
61	-43.784504570629046	8.606077178452359e-05
62	-43.763567448342634	8.46092423328586e-05
63	-43.74263032605623	8.315919080756848e-05
64	-43.72169320376982	8.171138703097359e-05
65	-43.700756081483405	8.026658567964456e-05
66	-43.679818959197	7.882552572058594e-05
67	-43.65888183691059	7.738892987884044e-05
68	-43.63794471462418	7.595750413683768e-05
69	-43.61700759233777	7.45319372657297e-05
